Symbol,Shares,Last Price,AC/Share,Total Cost ($),Market Value ($),Tot Div Income ($),Day Gain UNRL (%),Day Gain UNRL ($),Tot Gain UNRL (%),Tot Gain UNRL ($),Realized Gain (%),Realized Gain ($)
AMZN,18,229.25,91.13,1640.32,4126.50,,1.00,41.04,151.57,2486.18,,
SPY,5.9942,687.06,303.02,1816.34,4118.38,,0.27,10.91,126.74,2302.04,,
ASML,8,1052.48,518.64,4149.12,8419.84,,-0.71,-60.00,102.93,4270.72,,
AMD,17,258.01,151.53,2576.02,4386.17,,-0.67,-29.39,70.27,1810.15,,
GOOG,4,268.43,162.73,650.92,1073.72,,-0.56,-6.00,64.95,422.80,,
GOOGL,31,267.47,162.89,5049.53,8291.57,,-0.67,-55.80,64.20,3242.04,,
CRSP,31,64.17,43.16,1337.96,1989.27,,-2.36,-48.05,48.68,651.31,,
META,3,751.44,607.05,1821.16,2254.32,,0.08,1.86,23.78,433.16,,
VUG,7,502.07,411.14,2877.97,3514.49,,0.76,26.53,22.12,636.52,,
TSM,20,301.53,247.73,4954.66,6030.60,,1.10,65.60,21.72,1075.94,,
IBM,19,312.57,258.33,4908.18,5938.83,,-0.17,-9.88,21.00,1030.65,,
MSFT,13,542.07,468.46,6090.04,7046.91,,1.98,137.15,15.71,956.87,,
TGT,45,97.11,87.54,3939.30,4369.95,,-0.68,-29.70,10.93,430.65,,
SWVXX,12200,1.0000,1.0000,12200.0000,12200.0000,,,,,0.0000,,
